,Survata Interview ID,Date (UTC),Period,Length of Interview (seconds),Country,State,Metro Area,Postal Code,Region,Division,City,Gender,Age,Operating System,Web Browser,Exposure Stamps
0,e592707f-efb1-45ab-9893-e2a22a2bd945,2017-08-24 19:14:08.0,1,188,US,VA,ROANOKE-LYNCHBURG,24112,South,South Atlantic,Martinsville,female,25 to 34,android,chrome,
1,5128c47d-6cd2-431a-bcd8-9bfeee24964e,2017-09-17 17:25:25.0,1,126,US,NE,OMAHA,68107,Midwest,West North Central,Omaha,female,35 to 44,windows,chrome,
2,e81326e7-bb74-4437-a7a3-8b268655080f,2017-09-30 17:18:39.0,1,165,US,NM,ALBUQUERQUE-SANTA FE,87105,West,Mountain,Albuquerque,female,55 to 64,android,chrome,
3,43472740-e0fb-4a58-a06b-f29cf7f592a5,2017-08-04 01:10:33.0,1,157,US,IL,DAVENPORT-R.ISLAND-MOLINE,61081,Midwest,East North Central,Sterling,female,35 to 44,windows,chrome,
4,2d93ae46-625c-4cfa-a286-ec8cb7a4492e,2017-11-10 17:21:14.0,3,114,US,MO,ST. LOUIS,63011,Midwest,West North Central,Ballwin,female,45 to 54,windows,ie,
5,573c56e6-c43d-46a2-99ff-26753c832848,2017-08-07 16:56:04.0,1,110,US,CO,ALBUQUERQUE-SANTA FE,81321,West,Mountain,Cortez,female,18 to 24,other,chrome,
6,7f947919-e5f2-4bb4-84a8-22bc52bc98a1,2017-08-14 12:45:24.0,1,174,US,NM,ALBUQUERQUE-SANTA FE,87107,West,Mountain,Albuquerque,male,55 to 64,windows,chrome,
7,68efc00f-3d10-42c1-87d1-64d4ccef9aa0,2017-11-05 02:34:35.0,3,203,US,TX,ODESSA-MIDLAND,79707,South,West South Central,Midland,female,45 to 54,windows,other,
8,b4b7e743-516d-4055-abb9-2b973fede411,2017-11-01 02:03:32.0,3,82,US,NC,RALEIGH-DURHAM (FAYETVLLE),27615,South,South Atlantic,Raleigh,male,45 to 54,windows,chrome,"2017-10-04 00:53:19.0 : 405947524,20367831,91520578,206223351,4075326"
9,4b2acfd8-97dd-4acf-9c6b-42f4a1668431,2017-11-11 02:34:03.0,3,170,US,OK,TULSA,74066,South,West South Central,Sapulpa,female,25 to 34,ios,safari,
10,ec9c9225-1c16-4fd6-958f-68155320ee3a,2017-09-10 22:23:48.0,1,126,US,TN,MEMPHIS,38115,South,East South Central,Memphis,male,35 to 44,android,chrome,
11,4616673e-8b30-40ce-a31f-1f2c926ca508,2017-11-09 23:18:25.0,3,130,US,AZ,PHOENIX (PRESCOTT),85901,West,Mountain,Show Low,male,25 to 34,windows,other,
12,f6061d28-b6e2-45c6-9f82-11e691ad4b69,2017-10-21 19:48:15.0,2,116,US,IN,LOUISVILLE,47170,Midwest,East North Central,Scottsburg,male,35 to 44,android,none,
13,6ef9e7bc-0a3a-459e-a141-51089fc4db89,2017-11-01 05:44:16.0,3,74,US,IA,DES MOINES-AMES,50010,Midwest,West North Central,Ames,female,18 to 24,windows,chrome,
14,906050d3-20d9-4503-aba7-fbb863708474,2017-08-24 03:33:02.0,1,156,US,IL,CHICAGO,60513,Midwest,East North Central,Brookfield,female,45 to 54,ios,safari,"2017-08-21 02:26:34.0 : 403048637,20184888,91491765,203244079,4096633"
15,9038a227-a82e-4bc1-a129-2827eeccf46a,2017-10-25 02:06:56.0,2,135,US,WI,MADISON,53813,Midwest,East North Central,Lancaster,male,65 and over,windows,chrome,
16,0b1a7e95-7f1b-433a-b768-0ab5177e41c3,2017-10-27 00:34:02.0,2,147,US,AL,HUNTSVILLE-DECATUR (FLOR),35806,South,East South Central,Huntsville,female,18 to 24,windows,chrome,
17,00a17bb1-7be5-4602-933f-5a6bc35c32b4,2017-10-20 03:04:35.0,2,167,US,UT,,,West,Mountain,,male,25 to 34,android,chrome,
18,dadbe93c-9c3f-484f-a716-9cc8b60aa414,2017-09-28 02:21:35.0,1,108,US,WI,MILWAUKEE,53219,Midwest,East North Central,Milwaukee,male,35 to 44,windows,chrome,
19,946cee17-2bc1-493e-a293-f1809f6aa7ff,2017-09-29 20:18:28.0,1,89,US,MT,BILLINGS,59102,West,Mountain,Billings,female,25 to 34,macos,chrome,
20,553eab22-60e5-4053-be07-3f7e7c3eb3a5,2017-09-26 17:38:17.0,1,134,US,TX,HOUSTON,77539,South,West South Central,Dickinson,male,35 to 44,windows,chrome,
21,30a2c668-32c3-43e4-a42c-001c2c69dbc2,2017-09-08 13:12:30.0,1,286,US,KY,LEXINGTON,40391,South,East South Central,Winchester,male,13 to 17,android,chrome,
22,ed56bf64-a57d-4c46-ac7d-97a4c3e50b82,2017-10-26 22:46:17.0,2,111,US,CA,SAN FRANCISCO-OAK-SAN JOSE,94041,West,Pacific,Mountain View,male,55 to 64,windows,other,
23,d8653eff-28d1-496f-bc4b-d867c19217dc,2017-10-07 02:30:58.0,2,127,US,PA,PHILADELPHIA,18951,Northeast,Mid-Atlantic,Quakertown,female,65 and over,windows,chrome,
24,08358447-8c4b-4ffc-882a-a847e18cc1f4,2017-10-25 00:57:29.0,2,113,US,MT,HELENA,59601,West,Mountain,Helena,male,65 and over,macos,safari,
25,dc78fe99-0600-467b-ae21-1a494c9c5b8e,2017-10-24 23:58:11.0,2,109,US,NV,LAS VEGAS,89014,West,Mountain,Henderson,male,25 to 34,macos,chrome,
